free,ing,not_ing,recipeID,title,ingredients,directions,rel
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1789811,Chocolate-Pistachio Torte with Warm Chocolate Ganache,"['12 ounces shelled unsalted natural pistachios (untoasted; about 2 2/3 cups)', '2 tablespoons sugar', '2 large egg whites', '12 ounces bittersweet (not unsweetened) or semisweet chocolate, chopped', '1/2 cup (1 stick) unsalted butter, room temperature', '6 large eggs, separated', '1/4 teaspoon salt', '2 tablespoons sugar', '2 tablespoons (packed) golden brown sugar', '2 cups heavy whipping cream', '15 ounces bittersweet (not unsweetened) or semisweet chocolate, chopped', 'Chopped pistachios']","Finely grind nuts and sugar in processor. Add egg whites and blend well. DO AHEAD Can be made 3 days ahead. Transfer to small bowl, cover, and refrigerate. Preheat oven to 350F. Butter 8-inch-diameter springform pan. Line pan bottom with parchment paper; butter paper. Place chocolate in medium metal bowl set over saucepan of simmering water and stir until chocolate is melted and smooth. Remove from over water. Cool chocolate to lukewarm. Measure 1/3 cup pistachio paste and transfer to small bowl (cover and reserve for another use). Place remaining pistachio paste in large bowl; add butter. Using electric mixer, beat until blended. Beat in egg yolks, then melted chocolate. Using clean dry beaters, beat egg whites with salt in another large bowl until soft peaks form. Gradually add 2 tablespoons sugar, beating until firm peaks form. Sift brown sugar over and fold in. Using flexible rubber spatula, fold egg-white mixture into chocolate mixture in 4 additions; transfer batter to prepared pan. Bake torte until center is slightly puffed and tester inserted into center comes out with some batter still attached, about 1 hour. Cool torte completely in pan on rack. DO AHEAD Can be made 1 day ahead. Cover and let stand at room temperature. Bring cream to simmer in small saucepan. Remove from heat; add chocolate and whisk until smooth. DO AHEAD Can be made 1 day ahead. Chill. Rewarm before using. Cut torte into wedges; place on plates. Pour warm ganache over. Sprinkle with pistachios and serve.",2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,626179,Kool Kubes,"['1 pkg. any flavor Kool-Aid', '1 ice tray', '2 c. sugar', '2 qt. water']","Mix together Kool-Aid, water and sugar. Then pour Kool-Aid into ice tray. Place ice tray in freezer until cubes are frozen. Place in drink or enjoy alone.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1639365,Green Punch,"['1 kool-aid pkt Lime', '1 limeade lrg Can', '1 1/2 cups sugar', '2 cups water', '1 kool-aid pkt Lime, prepared', '4 cups water', '1 quart ginger ale', '1 pint sherbet Lime']","Mix 1 pk lime kool aid, l can frozen lime aid, sugar and water. This can be made ahead. Prepare second package of kool-aid. Freeze in ring mold. When ready to serve mix lime mixture, 4 cups water, ginger ale. Mix in punch bowl. Add frozen kool aid ring and sherbet.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1791697,Double-Flavored Coffee,"['7-1/2 cups hot brewed MAXWELL HOUSE Coffee', '1/2 cup coffee-flavored liqueur']",Pour coffee into 8 mugs. Add 1 Tbsp. liqueur to each mug; stir.,1
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,464478,Colorful Party Punch,"['1 (64 oz.) can pineapple juice', '1 (2 liter) ginger ale', '1 pkg. Kool-Aid']","Make Kool-Aid according to package. Chill all liquids. Mix equal parts of juice, ginger ale and Kool-Aid.",2
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,428354,Homespun Meat Pie,"['1 lb. ground beef', '4 oz. can mushrooms, drained', '1 egg', '1/3 c. chopped onion', '1/4 c. bread crumbs', '1 tsp. salt', '2 c. cubed, cooked potatoes', '3 Tbsp. milk', '1/2 lb. Velveeta cheese', '1 Tbsp. parsley', '1/4 tsp. salt']","Combine beef, mushrooms, egg, onion, bread crumbs and salt. Press mixture into 9-inch glass pie dish. Bake at 400\u00b0 for 15 minutes. Reduce to 350\u00b0. Mash potatoes, milk, cheese, parsley and salt. Fill meat pie. Bake an additional 15 minutes.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1492032,Frozen Kool-Aid Dessert,"['1 cup sugar', '1 package (.13 ounce) Kool-Aid, any flavor', '2 cups milk', '1 cup heavy whipping cream']","In a bowl, combine the sugar, Kool-Aid and milk; stir until the sugar and Kool-Aid are dissolved. Pour into a freezer container. Freeze for 1 hour or until slushy. In a bowl, beat cream until stiff. Add Kool-Aid mixture; mix just until combined. Return to the freezer container. Freeze until solid, about 2 hours.",3
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,684820,Danish Dessert Ii,"['7 c. water', '1 c. sugar', '1 pkg. Kool-Aid, unsweetened', '3 oz. jello']","Bring water, sugar and Kool-Aid to a boil. Thicken with mixer of 3/4 cup clear jell and 1 cup water. Add jello the same flavor as Kool-Aid.",1
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,1891892,Deviled Ham,"['1 Cup (225 ml) chopped cooked ham', '1 Tbs (15 ml). grated onion', '2 tsp (10 ml). prepared mustard', '1 Tbs (15 ml). chutney', '2 Tbs (30 ml). mayonnaise']","Cut the ham into small pieces and puree in a blender or food processor. Add the rest of the ingredients. Put into a crock, chill.",1
something with chicken,"ramen, yogurt, Kool-Aid, eggs, peanut butter",gravel,143732,Belva'S Punch,"['1 (6 oz.) can orange juice (frozen)', '1 (6 oz.) can lemonade (frozen)', '1 pkg. strawberry Kool-Aid (unsweetened)', '1 pkg. cherry Kool-Aid (unsweetened)', '1 (46 oz.) can pineapple juice (unsweetened)', '2 c. sugar', '3 qt. water', '1 (16 oz.) bottle 7-Up']",Jell-O can be substituted for the Kool-Aid. Use 1 (3 ounce) box of Jell-O for each package of Kool-Aid. Use 1/2 cup sugar.,2
